PLAYER,TEAM,GP,MP,GV-MP,GRAV,PERIM_GV-MP,PERIM_GRAV,INTERIOR_GV-MP,INTERIOR_GRAV,OFF_POS_PERIM_GV-MP,OFF_POS_PERIM_GRAV,OFF_POS_INTERIOR_GV-MP,OFF_POS_INTERIOR_GRAV,PTS,REB,AST
Brandon Ingram,TOR,75,33.9,670.7,8.3,123.9,8.2,67.9,0.7,381.6,10.3,97.3,3.8,21.6,5.7,3.7
CJ McCollum,ATL,75,29.7,512.7,7.4,146.4,6.4,32.0,-11.1,263.1,11.2,71.1,-6.7,18.7,3.3,3.8
DeMar DeRozan,SAC,77,31.3,587.0,7.3,102.3,8.2,59.6,5.5,333.9,8.2,91.2,5.2,18.4,2.9,4.1
Malik Monk,SAC,62,22.0,315.8,7.2,65.0,5.5,13.0,-1.5,210.6,8.7,27.1,2.0,12.5,1.9,3.0
Tim Hardaway Jr.,DEN,79,26.6,501.3,7.1,35.0,3.7,6.2,-8.2,398.7,8.4,61.4,-3.6,13.5,2.6,1.3
Simone Fontecchio,MIA,69,16.7,257.6,6.8,22.6,4.8,7.6,-9.6,156.2,8.3,71.3,-9.3,8.4,3.0,1.4
AJ Green,MIL,77,29.1,565.6,6.7,55.6,1.6,8.3,-17.3,413.4,8.3,88.3,-6.9,10.3,2.7,1.9
Kon Knueppel,CHA,81,31.5,654.9,6.5,78.4,6.6,24.5,-11.9,436.1,9.4,116.0,-9.1,18.5,5.3,3.4
Reed Sheppard,HOU,81,26.2,536.9,6.2,138.8,4.7,14.4,-12.1,353.6,7.8,30.1,-9.1,13.5,2.9,3.4
Pascal Siakam,IND,61,33.1,518.5,6.1,75.5,6.6,54.1,5.7,265.6,7.0,123.3,4.9,23.9,6.7,3.8
Luke Kennard,LAL,78,21.6,379.1,6.0,40.6,5.5,13.2,-10.8,261.3,7.7,64.0,-6.4,8.4,2.3,2.2
Cam Spencer,MEM,71,23.9,405.5,5.8,118.5,4.8,18.4,-10.4,229.8,9.0,38.9,-7.0,11.1,2.6,5.6
Corey Kispert,ATL,57,18.7,228.6,5.8,20.1,1.6,6.4,-11.0,172.1,7.6,30.0,-6.8,9.2,2.2,1.6
Kevin Huerter,DET,68,22.4,366.1,5.7,44.6,2.1,13.1,-17.7,248.5,8.6,60.0,-11.5,10.0,3.4,2.5
Devin Vassell,SAS,66,30.5,448.0,5.6,49.0,1.9,12.3,-3.5,337.0,7.3,49.7,-3.6,14.0,4.0,2.5
Brice Sensabaugh,UTA,74,23.5,397.0,5.5,52.4,4.9,17.8,-6.7,289.8,6.8,37.0,-4.5,14.9,3.1,1.9
